AREA_GEOGRAFICA,PROYECTO,INSTALACION,USUARIO,TIPO_USUARIO,TIPO_ASISTENCIA,EQUIPO,TIPO_EQUIPO,TIPO_FRACCION,TIPO_AVERIA,TIPO_FALLO,TIEMPO_ENTRE_EQUIPOS,TIEMPO_ENTRE_EQUIPOS_ASSIST_TYPE,TIEMPO_ENTRE_EQUIPO_FALLO,TIEMPO_ENTRE_FALLO_EQUIPO_AVERIA,TIEMPO_VIAJE,TIEMPO_TRABAJO,INMERSION,ACOMPANANTE,TRABAJO_FINALIZADO,RED_VERTIDO,ORDEN_TRABAJO,TIPO_ORDEN,TIEMPO_FECHAPREVISTA_FECHAFINALIZACION,HAY_MATERIALES_TEXTO,CANTIDAD_MATERIALES,COSTO
4,41,4103,10,2,0,1742,1503,0,0,0,0,0,0,0,0,120,0,0,0,3,1761,1,0,0,122,3184
4,41,4103,10,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,3,1752,7,1,0,122,3184
4,41,4101,10,2,0,87,2200,0,0,0,0,0,0,0,0,300,0,0,0,3,1779,7,4,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,34,0,0,0,0,120,0,0,0,3,1776,7,4,0,122,3184
4,41,4101,10,2,0,18388,500,0,0,0,89,0,0,0,0,300,0,0,0,3,1778,7,4,0,122,3184
4,41,4101,10,2,0,62,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,1862,7,1,0,122,3184
4,41,4101,10,2,0,83,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,1863,7,1,0,122,3184
4,41,4101,10,2,0,444,0,5,0,0,0,0,0,0,0,60,0,0,0,3,1866,7,1,0,122,3184
4,41,4103,10,2,0,1740,0,5,0,0,24,0,0,0,0,120,0,0,0,3,1882,1,0,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,37,0,0,0,0,120,0,0,0,3,1880,7,0,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,41,0,0,0,0,120,0,0,0,3,1893,7,0,0,122,3184
4,41,4101,10,2,0,86,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2030,7,0,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,44,0,0,0,0,120,0,0,0,3,2428,7,0,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,44,0,0,0,0,120,0,0,0,3,2516,7,0,0,122,3184
4,41,4101,10,2,0,23,500,0,0,0,69,0,0,0,0,60,0,0,0,3,2518,1,0,0,122,3184
4,41,4101,10,2,0,23,500,0,0,0,73,0,0,0,0,60,0,0,0,3,2539,1,0,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,48,0,0,0,0,180,0,0,0,3,2537,7,0,0,122,3184
4,41,4101,10,2,0,44,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2560,7,0,0,122,3184
4,41,4101,10,2,0,60,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2559,7,0,0,122,3184
4,41,4101,10,2,0,17286,500,0,0,0,88,0,0,0,0,60,0,0,0,3,2558,7,0,0,122,3184
4,41,4101,10,2,0,25,500,0,0,0,0,0,0,0,0,60,0,0,0,3,2557,7,0,0,122,3184
4,41,4101,10,2,0,23,500,0,0,0,74,0,0,0,0,60,0,0,0,3,2556,7,0,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,52,0,0,0,0,120,0,0,0,3,2561,7,1,0,122,3184
4,41,4103,10,2,0,1725,0,5,0,0,3,0,0,0,0,120,0,0,0,3,2564,7,1,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,51,0,0,0,0,120,0,0,0,3,2565,7,0,0,122,3184
4,41,4101,10,2,0,22,500,0,0,0,95,0,0,0,0,120,0,0,0,3,2567,7,0,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,55,0,0,0,0,120,0,0,0,3,2575,7,0,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,56,0,0,0,0,120,0,0,0,3,2589,7,1,0,122,3184
4,41,4103,10,2,0,1740,0,5,0,0,43,0,0,0,0,60,0,0,0,3,2588,1,1,0,122,3184
4,41,4103,10,2,0,2151,2301,0,0,0,0,0,0,0,0,60,0,0,0,3,2593,1,1,0,122,3184
4,41,4101,10,2,0,405,0,5,0,0,0,0,0,0,0,60,0,0,0,3,2591,1,1,0,122,3184
4,41,4101,10,2,0,87,2200,0,0,0,22,0,0,0,0,60,0,0,0,3,2595,7,0,0,122,3184
4,41,4103,10,2,0,1795,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2596,1,0,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,58,0,0,0,0,120,0,0,0,3,2601,7,0,0,122,3184
4,41,4103,10,2,0,1727,0,5,0,0,98,0,0,0,0,60,0,0,0,3,2604,7,0,0,122,3184
4,41,4103,10,2,0,1728,0,2,0,0,76,0,0,0,0,120,0,0,0,3,2605,7,0,0,122,3184
4,41,4101,10,2,0,61,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2612,1,0,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,58,0,0,0,0,120,0,0,0,3,2607,7,0,0,122,3184
4,41,4101,10,2,0,18388,500,0,0,0,113,0,0,0,0,60,0,0,0,3,2609,7,0,0,122,3184
4,41,4101,10,2,0,46,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2611,7,5,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,64,0,0,0,0,120,0,0,0,3,2700,7,2,0,122,3184
4,41,4103,10,2,0,1789,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2704,7,0,0,122,3184
4,41,4103,10,2,0,1796,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2705,7,0,0,122,3184
4,41,4103,10,2,0,1797,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2706,7,0,0,122,3184
4,41,4103,10,2,0,1800,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2707,7,0,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,63,0,0,0,0,120,0,0,0,3,2709,7,1,0,122,3184
4,41,4103,10,2,0,1797,2200,0,0,0,0,0,0,0,0,60,0,0,0,3,2711,1,0,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,65,0,0,0,0,60,0,0,0,3,2717,7,1,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,66,0,0,0,0,60,0,0,0,3,2718,7,1,0,122,3184
4,41,4101,10,2,0,22,500,0,0,0,109,0,0,0,0,120,0,0,0,3,2721,7,0,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,83,0,0,0,0,60,0,0,0,3,2719,7,17,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,82,0,0,0,0,120,0,0,0,3,2720,7,17,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,82,0,0,0,1200,120,0,0,0,3,3201,7,3,0,122,3184
4,46,4601,10,2,0,13678,0,5,0,0,0,0,0,0,120,120,0,0,0,2,3199,1,2,0,122,3184
4,41,4103,10,2,0,1730,0,5,0,0,83,0,0,0,720,120,0,0,0,3,3195,7,0,0,122,3184
4,41,4103,10,2,0,1738,500,0,0,0,103,0,0,0,0,120,0,0,0,3,3197,1,0,0,122,3184
4,41,4101,10,2,0,401,0,5,0,0,0,0,0,0,0,60,0,0,0,3,3198,1,0,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,86,0,0,0,0,120,0,0,0,3,3215,7,3,0,122,3184
4,41,4101,10,2,0,14,0,5,0,0,86,0,0,0,0,120,0,0,0,3,3227,7,0,0,122,3184
4,41,4101,10,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,3,3229,7,0,0,122,3184
